level,model,sku_id,description,observations,mae,rmse,wmape
sku,weekday_seasonal_mean,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.7014,0.7711,9.8200
sku,naive_lag_1,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,moving_average_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2020,2.0000
sku,seasonal_naive_lag_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,weekday_seasonal_mean,15058B,PINK POLKADOT GARDEN PARASOL,28,0.5958,0.6581,16.6822
sku,naive_lag_1,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,moving_average_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.2766,1.5000
sku,seasonal_naive_lag_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,weekday_seasonal_mean,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.6011,0.7431,8.4148
sku,naive_lag_1,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.0000,7.2210,2.0000
sku,moving_average_7,15060B,FAIRY CAKE DESIGN UMBRELLA,28,1.9286,5.4513,1.9286
sku,seasonal_naive_lag_7,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.0000,7.2210,2.0000
sku,weekday_seasonal_mean,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.7870,5.2758,2.7870
sku,naive_lag_1,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,40.2857,74.3198,1.5410
sku,moving_average_7,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,36.4949,66.3669,1.3960
sku,seasonal_naive_lag_7,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,41.2500,83.1833,1.5779
sku,weekday_seasonal_mean,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,26.8034,65.0331,1.0253
sku,naive_lag_1,16011,ANIMAL STICKERS,28,15.5000,25.7252,1.5017
sku,moving_average_7,16011,ANIMAL STICKERS,28,15.9592,23.1226,1.5462
sku,seasonal_naive_lag_7,16011,ANIMAL STICKERS,28,18.0714,30.5392,1.7509
sku,weekday_seasonal_mean,16011,ANIMAL STICKERS,28,11.9133,22.7446,1.1542
sku,naive_lag_1,16012,FOOD/DRINK SPONGE STICKERS,28,3.4286,8.9801,1.9592
sku,moving_average_7,16012,FOOD/DRINK SPONGE STICKERS,28,5.5612,8.7614,3.1778
sku,seasonal_naive_lag_7,16012,FOOD/DRINK SPONGE STICKERS,28,5.1786,12.8299,2.9592
sku,weekday_seasonal_mean,16012,FOOD/DRINK SPONGE STICKERS,28,4.9386,6.6555,2.8221
sku,naive_lag_1,16014,SMALL CHINESE STYLE SCISSOR,28,43.2143,134.9939,1.8760
sku,moving_average_7,16014,SMALL CHINESE STYLE SCISSOR,28,38.7347,100.9828,1.6815
sku,seasonal_naive_lag_7,16014,SMALL CHINESE STYLE SCISSOR,28,44.3214,135.1685,1.9240
sku,weekday_seasonal_mean,16014,SMALL CHINESE STYLE SCISSOR,28,47.6070,91.8115,2.0667
sku,naive_lag_1,16015,MEDIUM CHINESE STYLE SCISSOR,28,1.0714,3.2733,3.0000
sku,moving_average_7,16015,MEDIUM CHINESE STYLE SCISSOR,28,1.1735,2.0022,3.2857
sku,seasonal_naive_lag_7,16015,MEDIUM CHINESE STYLE SCISSOR,28,0.7143,2.6726,2.0000
sku,weekday_seasonal_mean,16015,MEDIUM CHINESE STYLE SCISSOR,28,2.5245,3.3642,7.0687
sku,naive_lag_1,16016,LARGE CHINESE STYLE SCISSOR,28,10.3571,18.8035,1.5263
sku,moving_average_7,16016,LARGE CHINESE STYLE SCISSOR,28,9.2857,15.7050,1.3684
sku,seasonal_naive_lag_7,16016,LARGE CHINESE STYLE SCISSOR,28,10.0000,20.0000,1.4737
sku,weekday_seasonal_mean,16016,LARGE CHINESE STYLE SCISSOR,28,7.3339,14.7029,1.0808
sku,naive_lag_1,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,moving_average_7,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,seasonal_naive_lag_7,16020C,CLEAR STATIONERY BOX SET,28,0.0000,0.0000,0.0000
sku,weekday_seasonal_mean,16020C,CLEAR STATIONERY BOX SET,28,0.2246,0.2636,0.0000
