scope,model_family,model,sku_id,description,observations,mae,rmse,wmape
sku,deep_learning,gru,15060B,FAIRY CAKE DESIGN UMBRELLA,28,1.1742,5.0923,1.1742
sku,machine_learning,lightgbm,15060B,FAIRY CAKE DESIGN UMBRELLA,28,9.0726,16.1918,9.0726
sku,deep_learning,lstm,15060B,FAIRY CAKE DESIGN UMBRELLA,28,1.1417,5.0932,1.1417
sku,statistical,moving_average_7,15060B,FAIRY CAKE DESIGN UMBRELLA,28,1.9286,5.4513,1.9286
sku,statistical,naive_lag_1,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.0000,7.2210,2.0000
sku,statistical,seasonal_naive_lag_7,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.0000,7.2210,2.0000
sku,statistical,weekday_seasonal_mean,15060B,FAIRY CAKE DESIGN UMBRELLA,28,2.7871,5.2758,2.7871
sku,machine_learning,xgboost,15060B,FAIRY CAKE DESIGN UMBRELLA,28,9.2802,34.1006,9.2802
sku,deep_learning,gru,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,27.2213,65.6696,1.0413
sku,machine_learning,lightgbm,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,40.1079,67.0853,1.5342
sku,deep_learning,lstm,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,26.9243,65.9162,1.0299
sku,statistical,moving_average_7,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,36.4949,66.3669,1.3960
sku,statistical,naive_lag_1,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,40.2857,74.3198,1.5410
sku,statistical,seasonal_naive_lag_7,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,41.2500,83.1833,1.5779
sku,statistical,weekday_seasonal_mean,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,26.8034,65.0331,1.0253
sku,machine_learning,xgboost,16008,SMALL FOLDING SCISSOR(POINTED EDGE),28,36.9693,64.6428,1.4141
sku,deep_learning,gru,16011,ANIMAL STICKERS,28,11.4070,24.2315,1.1052
